date,fear_and_greed_index
2015-01-02,37.0
2015-01-05,30.0
2015-01-06,21.0
2015-01-07,21.0
2015-01-08,28.0
2015-01-09,29.0
2015-01-12,30.0
2015-01-13,29.0
2015-01-14,30.0
2015-01-15,30.0
2015-01-16,26.0
2015-01-20,25.0
2015-01-21,28.0
2015-01-22,32.0
2015-01-23,31.0
2015-01-26,28.0
2015-01-27,28.0
2015-01-28,26.0
2015-01-29,26.0
2015-01-30,25.0
2015-02-02,30.0
2015-02-03,46.0
2015-02-04,42.0
2015-02-05,50.0
2015-02-06,52.0
2015-02-09,52.0
2015-02-10,54.0
2015-02-11,61.0
2015-02-12,64.0
2015-02-13,73.0
2015-02-17,77.0
2015-02-18,79.0
2015-02-19,77.0
2015-02-20,80.0
2015-02-23,77.0
2015-02-24,75.0
2015-02-25,77.0
2015-02-26,78.0
2015-02-27,74.0
2015-03-02,74.0
2015-03-03,66.0
2015-03-04,66.0
2015-03-05,65.0
2015-03-06,58.0
2015-03-09,58.0
2015-03-10,52.0
2015-03-11,44.0
2015-03-12,46.0
2015-03-13,39.0
2015-03-16,42.0
2015-03-17,40.0
2015-03-18,39.0
2015-03-19,43.0
2015-03-20,43.0
2015-03-23,48.0
2015-03-24,44.0
2015-03-25,44.0
2015-03-26,37.0
2015-03-27,36.0
2015-03-30,37.0
2015-03-31,37.0
2015-04-01,35.0
2015-04-02,40.0
2015-04-06,43.0
2015-04-07,48.0
2015-04-08,48.0
2015-04-09,56.0
2015-04-10,56.0
2015-04-13,60.0
2015-04-14,60.0
2015-04-15,60.0
2015-04-16,57.0
2015-04-17,57.0
2015-04-20,55.0
2015-04-21,59.0
2015-04-22,59.0
2015-04-23,64.0
2015-04-24,66.0
2015-04-27,59.0
2015-04-28,61.0
2015-04-29,61.0
2015-04-30,53.0
2015-05-01,61.0
2015-05-04,61.0
2015-05-05,58.0
2015-05-06,58.0
2015-05-07,53.0
2015-05-08,58.0
2015-05-11,53.0
2015-05-12,49.0
2015-05-13,55.0
2015-05-14,57.0
2015-05-15,57.0
2015-05-18,62.0
2015-05-19,62.0
2015-05-20,64.0
2015-05-21,64.0
2015-05-22,60.0
2015-05-26,50.0
2015-05-27,47.0
2015-05-28,47.0
2015-05-29,43.0
2015-06-01,40.0
2015-06-02,43.0
2015-06-03,45.0
2015-06-04,44.0
2015-06-05,40.0
2015-06-08,36.0
2015-06-09,36.0
2015-06-10,37.0
2015-06-11,41.0
2015-06-12,30.0
2015-06-15,26.0
2015-06-16,27.0
2015-06-17,26.0
2015-06-18,34.0
2015-06-19,30.0
2015-06-22,42.0
2015-06-23,49.0
2015-06-24,36.0
2015-06-25,34.0
2015-06-26,33.0
2015-06-29,8.0
2015-06-30,11.0
2015-07-01,18.0
2015-07-02,16.0
2015-07-06,13.0
2015-07-07,13.0
2015-07-08,9.0
2015-07-09,12.0
2015-07-10,14.0
2015-07-13,24.0
2015-07-14,24.0
2015-07-15,30.0
2015-07-16,30.0
2015-07-17,34.0
2015-07-20,34.0
2015-07-21,25.0
2015-07-22,20.0
2015-07-23,15.0
2015-07-24,15.0
2015-07-27,7.0
2015-07-28,17.0
2015-07-29,21.0
2015-07-30,21.0
2015-07-31,20.0
2015-08-03,24.0
2015-08-04,28.0
2015-08-05,21.0
2015-08-06,18.0
2015-08-07,10.0
2015-08-10,9.0
2015-08-11,12.0
2015-08-12,9.0
2015-08-13,11.0
2015-08-14,11.0
2015-08-17,14.0
2015-08-18,13.0
2015-08-19,13.0
2015-08-20,8.0
2015-08-21,8.0
2015-08-24,3.0
2015-08-25,9.0
2015-08-26,12.0
2015-08-27,13.0
2015-08-28,14.0
2015-08-31,14.0
2015-09-01,9.0
2015-09-02,13.0
2015-09-03,11.0
2015-09-04,10.0
2015-09-08,13.0
2015-09-09,13.0
2015-09-10,15.0
2015-09-11,14.0
2015-09-14,13.0
2015-09-15,16.0
2015-09-16,16.0
2015-09-17,16.0
2015-09-18,18.0
2015-09-21,23.0
2015-09-22,31.0
2015-09-23,31.0
2015-09-24,22.0
2015-09-25,18.0
2015-09-28,15.0
2015-09-29,13.0
2015-09-30,21.0
2015-10-01,18.0
2015-10-02,24.0
2015-10-05,31.0
2015-10-06,36.0
2015-10-07,37.0
2015-10-08,42.0
2015-10-09,43.0
2015-10-12,41.0
2015-10-13,35.0
2015-10-14,35.0
2015-10-15,41.0
2015-10-16,45.0
2015-10-19,47.0
2015-10-20,51.0
2015-10-21,50.0
2015-10-22,55.0
2015-10-23,59.0
2015-10-26,61.0
2015-10-27,69.0
2015-10-28,69.0
2015-10-29,71.0
2015-10-30,70.0
2015-11-02,73.0
2015-11-03,73.0
2015-11-04,72.0
2015-11-05,73.0
2015-11-06,71.0
2015-11-09,67.0
2015-11-10,66.0
2015-11-11,63.0
2015-11-12,55.0
2015-11-13,45.0
2015-11-16,50.0
2015-11-17,48.0
2015-11-18,53.0
2015-11-19,52.0
2015-11-20,54.0
2015-11-23,53.0
2015-11-24,58.0
2015-11-25,59.0
2015-11-27,58.0
2015-11-30,58.0
2015-12-01,60.0
2015-12-02,55.0
2015-12-03,49.0
2015-12-04,58.0
2015-12-07,47.0
2015-12-08,38.0
2015-12-09,35.0
2015-12-10,36.0
2015-12-11,24.0
2015-12-14,29.0
2015-12-15,35.0
2015-12-16,44.0
2015-12-17,34.0
2015-12-18,29.0
2015-12-21,32.0
2015-12-22,36.0
2015-12-23,42.0
2015-12-24,42.0
2015-12-28,44.0
2015-12-29,51.0
2015-12-30,47.0
2015-12-31,45.0
